Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Ecuador,Coronavirus protest,20-May,Partly free,Announcement of the closure of some state-owned companies and cuts to salaries of public sector workers.,Economic impacts of the coronavirus pandemic response.,"4,000","Trade unions, social welfare organizations.",1 day,No policy/leadership change in response to the protest.,,,X,,Tens of thousands,,,X,,,Quito
Ecuador,Femicide protests,22-Sep,Free,The disappearance and murder of 34-year-old lawyer María Belén Bernal.,Anger over high rates of femicide in the country.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Quito
Ecuador,Fuel price protest,21-Oct,Partly free,The government's announcement that it would be reducing subsidies on fuel.,"Frustration over economic inequality, rising cost of living, and persistent inequality for the country's Indigenous groups.",">1,000","General public, especially Indigenous groups.",1 month,No policy/leadership change in response to protest.,,X,,,Thousands,,,,,,Quito
Ecuador,Fuel subsidy protests,19-Oct,Partly free,Proposal of an austerity package that would increase fuel costs and cut salaries for public sector jobs.,Economic inequality and indigenous land rights.,">10,000","Indigenous groups, transportation unions, student groups, labor unions.",2 weeks,Government agreed to cancel austerity package.,,X,,,Tens of thousands,,,,,,Quito
Ecuador,Rising price protests,22-Jun,Free,Rising prices for staple goods and the announcement of a strike and circulation of economic demands by the Confederation of Indigenous Nationalities of Ecuador.,Frustration with rising prices for agricultural goods and fuel and persistent economic inequality.,">5,000","General public, especially Indigenous groups.",2 weeks,"The government and CONAIE signed a ""peace accord"" which ended an 18-day general strike by protesters.",,X,X,,Thousands,X,,X,,,Quito
Egypt,Corruption protests,19-Sep,Not free,Revelations that President Abdel Fattah el-Sisi and his inner circle used public funds for personal gain.,Corruption and rising levels of poverty despite economic growth.,">1,000",Young people.,1 week,No policy/leadership change in response to the protests.,,X,,X,Tens of thousands,X,,X,X,,Cairo
Egypt,Friday of Anger protests,20-Sep,Not free,Call for protest by exiled opposition leader Mohamed Ali; the demolition of unlicensed homes; and increases in commodity pricing.,"Opposition to the entrenchment of the al-Sisi regime, high costs of living, and the lack of political pluralism.",">1,000","Rural citizens, especially those displaced by the government's demolition campaign.",2 weeks,No policy or leadership change in response to the protests.,,X,X,X,Thousands,,,X,,,Cairo
El Salvador,Bitcoin protests,21-Sep,Partly free,The government's enactment of a provision to accept bitcoin as legal tender.,Concerns over rising inflation; economic mismagement; and perceived authoritarianism under President Nayib Bukele.,">4,000",General public.,2 months,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,,,San Salvador
eSwatini,Cost of living protests,19-Sep,Not free,Low pay for teachers and other public servants.,Frustration over a lack of political pluralism; allegations of corruption against the king and his family; and rising costs of living amid a stagnating economy.,">1,000","General public, especially those employed in the public sector.",1 week,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,X,,,Mbabane
eSwatini,Minibus driver protest,22-Nov,Not free,Authorities arrested four minibus drivers after accusing them of assaulting a female customer.,Frustrations with repression by authorities in eSwatini.,>100,Minibus drivers in Manzini.,1 day,No policy/leadership change in response to protest.,,,X,,Hundreds,,,X,,,Mbabane
Eswatini,Pro-democracy protests,21-Jun,Not free,"Death of law student Thabani Nkomonye in May, the government’s rejection of petitions, and allegations of corruption against King Mswati III.","Frustration with the lack of political pluralism under Eswatini’s absolute monarchy, intolerance of dissent, and persistent poverty.",">5,000",General public.,4 months,No policy/leadership change in response to protest.,,X,X,,Thousands,,,X,X,,Mbabane
eSwatini,Pro-democracy protests,19-May,Not free,Calls for protests by pro-democracy opposition groups.,Concern over the consolidation of power under King Mswati III and the lack of genuine political representation.,">1,000",General public; opposition groups.,1 week,No policy/leadership change in response to protests.,,X,,X,Tens of thousands,X,,X,X,,Mbabane
eSwatini,Service delivery protest,18-Jun,Not free,The suspension of parliament and the introduction of a bill that would impose a fine on those who married foreigners.,"Anger over corruption, misuse of state funds, and a nationalist crackdown.",">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Over 1 million,X,X,X,X,,Mbabane
Ethiopia,Withdrawal of outside forces protest,23-May,Not free,"Although the two-year-long Tigray War ended with a truce in November 2022, millions of people are were still displaced and Amhara and Eritrean troops remained inside Tigrayan territory, according to humanitarian workers.","Anger over the lasting effects of the war, especially the continued presence of outside forces in Tigray.",">1,000",Tigrayans.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Addis Ababa
Ethiopia,Special forces integration protests,23-Apr,Not free,The government ordered the integration of the eleven regions’ special forces into the federal military.,Fears that dissolution of regional special forces would leave Amharas vulnerable to attacks from Tigray and Oromiya.,">1,000",Amharas,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Addis Ababa
Ethiopia,Water shortage protest,23-Feb,Not free,Water shortages.,Anger over perceived government inaction to provide sufficient water.,">1,000",Residents of Welkite.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,X,,,Addis Ababa
Ethiopia,Ethnic violence protests,18-Sep,Not free,Murder of twenty-three ethnic minorities in Ethiopia’s majority-Oromo Oromia region.,"Frustration over persistent ethnic violence, especially acts committed by Oromo youth, and anger at the government for fostering a sense of impunity by inviting the formerly banned Oromo Liberation Front to return from exile.",">1,000",Members of non-Oromo ethnic groups.,1 month,Prime Minister Abiy Ahmed denounced the violence and arrested thousands of people alleged to be involved with the violence.,,X,X,,Hundreds of thousands,X,X,,X,,Addis Ababa
Ethiopia,Hundessa protests,20-Jun,Not free,Murder of activist and singer Hachalu Hundessa.,"Ongoing wish for more autonomy for sub-national government, disputes over the construction of the Grand Ethiopian Renaissance Dam, ethnic conflicts",">5,000",Members of the Oromo ethnic group,4 months,"Amid surging ethnic violence, PM Abiy Ahmed replaced ten ministers, including the Minister of Defense, on August 18.",,,X,,Tens of thousands,,,,,,Addis Ababa
Ethiopia,Oromia protests,19-Oct,Not free,Allegations circulated by opposition leader Jawar Mohammed that Prime Minister Abiy Ahmed had sent security forces to detain him.,Tensions between Ethiopia’s ethnic groups and a perception among the political opposition that the Abiy government was consolidating power and undermining the rule of law.,">1,000","General public, especially supporters of Jawar Mohammed.",1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,X,Addis Ababa
Ethiopia,Political prisoner protests,18-Feb,Not free,"Citizens’ demands for the release of senior opposition leader Bekele Gerba from prison, after then prime minister Hailemariam Desalegn had reneged on his promise to release all political prisoners. Prior protests had begun in 2015, led by the Oromo and Amhara ethnic groups over ethnic discrimination.","Demands for increased political freedom, reforms, and ethnic representation in federal structures.",">1,000",Oromo and Amhara ethnic groups.,3 days,"Opposition figures were freed, Desalegn stepped down, and the government declared a state of emergency.",,,X,,Hundreds of thousands,,X,,X,,Addis Ababa
France,2023 pension reform strikes and protests,23-Jan,Free,Government plans for pension reform including a measure that would raise the retirement age from 62 to 64.,Anger over the prospect of more years in the work force before retirement.,>1.2 million,"Unions, public sector employees, rail workers, teachers.",4.5 months,"No policy/leadership change in response to protests. In March 2023, French Prime Minister Elisabeth Borne used a special procedure to push the pensions bill through the National Assembly without a vote.",,X,X,,Millions,,X,,X,,Paris
France,Nahel protests,23-Jun,Free,"On June 27, a police officer fatally shot Nahel M., a 17-year-old French citizen of Algerian and Moroccan descent, during a traffic stop.",Anger over percieved racism among French police and police brutality.,">1,000",General public.,2 weeks,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Paris
France,High-speed rail protest,23-Jun,Free,"The governments of France and Italy are working to construct a high-speed freight and passenger railway line through the Alps to connect Lyon, France, with Turin, Italy.",Fears that the construction will be detrimental for the surrounding alpine environment.,">3,000",Environmental activists.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Paris
France,Reservoir protest,23-Mar,Free,"Plans supported by the French government to construct a reservoir in Sainte-Soline, western France; pension reform protests.",Fears that the reservoirs sustain ecologically unsustainable types of industrial farming and trap water that would otherwise naturally irrigate soils and feed rivers and streams.,">6,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Paris
France,Anti-pesticide ban protest,23-Feb,Free,"In accordance with a European Court of Justice ruling, the French government closed a loophole that allowed sugar beet farmers to use neonicotinoids, a pesticide that the European Union banned in 2018.",Fears that the ban on neonicotinoid pesticides will contrain farmers' livelihoods.,">2,000",Sugar beet farmers.,1 day,No policy/leadership change in response to protests.,,X,,,Thousands,,,,,,Paris
France,Kurdish protests,22-Dec,Free,A gunman killed three people at a Kurdish cultural center and nearby Kurdish cafe in Paris.,Fear of insufficient protections for France's Kurdish population; frustration over government inaction to prevent attacks; grief in commemoration of the 10th anniversary of a similar attack that killed three Kurdish women in 2013.,">10,000",Kurds,2 weeks,No policy/leadership change in response to the protests.,,,X,,Hundreds,,,,,,Paris
France,2019 pension reform protests,19-Dec,Free,Government plans for pension reform.,Pension reform.,"800,000","Unions, public sector employees, Yellow Vest protesters, students, lawyers, rail workers.",4 months,"The government scrapped plans to raise the retirement age but maintained its plans to install other pension reforms, such as reducing the pension categories and redistributing benefits toward citizens with lower incomes.",,X,X,,Tens of thousands,,,X,,,Paris
France,“Yellow Vest” protests,18-Nov,Free,Proposal of a new fuel tax.,"Economically regressive policies, declining standard of living, growing inequality, and perception of government as overly favorable to the rich.","300,000","Initially mostly rural citizens, then later some urban working- and middle-class participants; some support from and participation by controversial far-right political groups.","1 year, 6 months","The government canceled the fuel tax increase, increased minimum wage and public spending, promised tax cuts, and initiated the Grand Débat to try to rebuild public trust in the government.",,X,,,Tens of thousands,,,,,,Paris
France,Anti-immigration bill protest,22-Dec,Free,"The French government moved forward with plans to pass legislation that would allow migrants with a deportation order to be put on a ""wanted list"" in order to streamline deportations.",Solidarity with undocumented migrants.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Paris
France,Anti-immigration protests,22-Oct,Free,The murder of a 12-year-old girl by an illegal immigrant from Algeria.,Frustrations with the government's policies on illegal immigration and deportation.,>100,Right-wing partisans.,1 week,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Paris
France,Anti-Semitic murder protest,21-Apr,Free,The Court of Cassation’s ruling that the killer of a Jewish woman could not be tried due to his “delirious state.”,"Frustration with the court’s determination amid rising anti-Semitic violence, and a sense of a lack of accountability for her death.",">1,000","General public, including high-level politicians.",1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris
France,Black Lives Matter protests,20-Jun,Free,"Deaths of George Floyd in 2020 in the United States and Adama Traore in 2016 in France, both at the hands of the police.","Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.","20,000",General public.,2 months,No policy/leadership change in response to the protests.,,X,,,Hundreds of thousands,X,X,,X,,Paris
France,Climate law protest,21-May,Free,The National Assembly’s consideration of a climate law.,Belief that government action has been insufficient on climate change.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris
France,Cost of living strikes and protests,22-Oct,Free,Strikes at oil refineries triggered fuel shortages and exacerbated rising fuel prices.,Worries over energy costs during winter; prices rising faster than wage increases.,">100,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,,,Hundreds of thousands,,X,,,,Paris
France,Health pass protest,21-Jul,Free,Introduction of a proposal that would require a “health pass” to access many amenities.,Concerns with perceived government overreach and frustration with vaccine mandates.,">150,000",General public.,8 months,No policy/leadership change in response to protest. The bill was adopted by the French National Assembly.,,,X,,Hundreds of of thousands,,X,,X,X,Paris
France,Labor reform protests,17-Sep,Free,Changes to private sector labor laws that would reduce damages for fired workers and favor companies in negotiations with workers.,Perceptions of President Emmanuel Macron's administration as overly favorable to businesses.,"200,000","Trade unions, general public.",2 weeks,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,X,,X,,,Paris
France,May Day protest,22-May,Free,Commemoration of May Day; call for protest by labor organizations.,"Economic discontent amid rising costs of living; opposition to President Emmanuel Macron's economic agenda, including a plan to raise the retirement age.",">120,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,Hundreds of of thousands,,X,,,,Paris
France,Police protest,21-May,Free,A rise in attacks against police.,"Frustration with rising violence, poor working conditions for law enforcement, and a perceived failure to address underlying social ills; and the desire for increased protections for police.",">1,000",Police officers.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris
France,Police security bill protests,20-Nov,Free,Approval in the Chamber of Deputies of a bill that limits the publication of images of on-duty police officers and the circulation of a video of police beating music producer Michel Zecler.,Concerns that the bill would limit accountability for police and suppress media freedom.,">100,000",General public.,4 months,The government agreed to rewrite the bill in response to protest demands.,,,X,,Huundreds of thousands,,X,,X,,Paris
France,Rail unions’ protests,18-Mar,Free,"Announcement of plans to reduce retirement benefits, reform unemployment insurance, and permit competition to the national rail service.",Threats to public services and public sector employees.,"200,000","Public sector workers, trade unions, students.",2 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,X,X,,Paris
Gabon,Education grant protests,19-Apr,Not free,The announcement of government plans to reduce access to tuition grants.,Frustration over the high cost of living and difficulties in accessing higher education.,">1,000",Secondary school students.,1 week,The government suspended the reform plans.,,,X,X,Tens of thousands,X,,,,,Libreville
Gambia,“Three Years Is Enough” protests,19-Dec,Partly free,Concerns that President Adama Barrow would renege on his promise to rule for only three years in a provisional government before calling elections and not running.,"Lack of political reforms, democratic backslide, and lack of government transparency.","10,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,X,Tens of thousands,,,X,,,Banjul
Gaza Strip,Anti-Hamas protests,23-Jul,Not free,A July heat wave caused power outages,"Discontent with Hamas, the movement that has governed the Gaza Strip since 2007; limited access to electricity; high unemployment; and corruption.",">1,000",General public,1 week,No policy/leadership change in response to the protests.,,X,X,X,Thousands,,,,,,Gaza City
Gaza Strip,Anti-flag march protest,23-May,Not free,Tens of thousands of Israelis marched through the Muslim Quarter of Jerusalem's Old City to celebrate the anniversary of Israeli forces retaking East Jerusalem in 1967.,Anger over perceived Israeli provocations related to East Jerusalem.,>100,General public.,1 day,No policy/leadership change in response to the protest.,,,X,,Hundreds,,,,,,Gaza City
Gaza Strip,Kader Adnan strike and protest,23-May,Not free,"Khader Adnan, a high-profile former spokesman of Palestinian Islamic Jihad, died following an eighty-seven-day hunger strike.",Anger over the death of Adnan; anger of Israeli occupation.,>100,Members of Palestinian Islamic Jihad (PIJ) and the Popular Front for the Liberation of Palestine (PFLP).,1 day,"Palestinian Islamic Jihad launched rocket attacks against Israel immediately following the death of Adnan, to which Israel responded by launching Operation Shield and Arrow from May 9–13.",,,X,,Hundreds,X,,,,,Gaza City
Gaza Strip,Israeli occupation protests,21-May,Not free,A court decision on whether to evict six Palestinian families from their homes in the East Jerusalem neighborhood of Sheikh Jarrah; Israeli moves to crack down on Palestinian assembly.,Anger over Israeli raids and settlements in the West Bank; fear that Israel will change the status quo of the al-Aqsa mosque.,">1,000",General public.,"Active, intermittently",No policy/leadership change in response to protests.,X,,X,,Thousands,,,,X,,Gaza City
Gaza Strip,“Great March of Return” protests,18-Mar,Not free,"Israeli economic blockade of the Gaza Strip, and Palestinian demand for the right to return to land in what is currently considered Israel.","Economic crisis caused by the blockade (including high unemployment along with electricity and food shortages), and Palestinians’ demand for the right to return.","40,000",Palestinians.,"1 year, 9 months",No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,X,,,Gaza City
Georgia,Russian direct flights protest,23-May,Partly free,Direct flights resumed between Russia and Georiga.,Anger over Russian military presence in South Ossetia and Abkhazia and Russia' invasion of Ukraine; frustration with the government for warming relations with Russia.,>200,General public.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Tblisi
Georgia,Pro-EU protest,23-Apr,Partly free,"The deterioration of the health of former president Mikheil Saakashvili, an advocate of closer relations with Europe who was serving a six-year prison term.","Anger over the ruling Georgian Dream party's actions including jailing Saakashvili, which protesters believed to be taking Georgia in an authoritarian, pro-Russian directions and were hindering the country's big to accede to the European Union.",">1,000",Members of the opposition United National Movement (UNM) party.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Tbilisi
Georgia,Foreign agents bill protests,23-Mar,Partly free,"Parliament introduced a bill that would require non-governmental and media organizations that receive more than 20 percent of their funding from abroad to declare themselves as ""foreign agents,"" or face fines and possible imprisonment.",Fears of rising authoritarianism and Russian influence in Georgia.,">10,000",General public.,1 week,Parliament retracted the foreign agents bill.,,,X,,Tens of thousands,X,,,,,Tbilisi
Georgia,Electoral protest,20-Oct,Partly free,Announcement of electoral results that showed the ruling Georgia Dream party with a significant lead.,"Belief that the electoral results were politically manipulated, that opposition parties had been deliberately kept out of power, and that oligarch and Georgia Dream founder Bidzina Ivanishvili retains an outsized level of influence.",">1,000","General public, especially opposition politicians.",3 weeks,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Tbilisi
Georgia,Electoral reform protests,19-Oct,Partly free,Parliament's failure to pass electoral reform that would change the system to proportional representation.,"Democratic backslide, crackdown on political opponents, and discontent with the electoral system that advantages the ruling party.","20,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,X,,,,,Tbilisi
Georgia,Journliast murder protest,21-Jul,Partly free,The murder of journalist Alexander Lashkarava.,Frustration with anti-LGBT attitudes and violence against journalists.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tbilisi
Georgia,Local elections protests,21-Oct,Partly free,"The ongoing detention of former president Mikheil Saakashvili; the announcement of municipal election results favorable to the ruling party, Georgian Dream.","Concerns over electoral integrity, the independence of the judicial system, and the perceived entrenchment of Georgian Dream.",">10,000","Opposition party members, especially members of the United National Movement.",3 months,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tbilisi
Georgia,Opposition leader arrest protests,21-Feb,Partly free,The arrest of opposition United National Movement leader Nika Melia.,Perceived entrenchment of the ruling Georgia Dream party and a crackdown on political opposition and dissent.,">5,000",General public.,2 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Tbilisi
Georgia,Russian interference protests,19-Jun,Partly free,"Russian lawmaker’s entry into the Georgian Parliament, during which he took the speaker’s seat.",Concerns that the ruling party is too friendly to Russia.,"10,000",General public.,1 week,"Then parliament speaker Irakli Kobakhidze resigned, and a proposal was made to change to an electoral system based on proportional representation.",,,X,,Thousands,,,,,,Tbilisi
Germany,Green transport protests,23-Mar,Free,"The Free Democratic Party stalled efforts by the coalition government to pass climate policies related to transportation, including a phase out of internal combustion enginges.",The conviction that green transportation policies will be necessary to combat the worst effects of climate change; anger that the Free Democratic Party was not supporting these measures.,">1,000",General public.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Berlin
Germany,Peace in Ukraine protest,23-Feb,Free,The German government continued to arm Ukraine one year after the Russian invasion.,Fears that continued support for the war in Ukraine would escalate to affect Germans' lives in greater ways.,">13,000",Germany's far-right and political left.,1 day,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Berlin
Germany,Coal mine expansion protests,23-Jan,Free,The state government of North Rhine-Westphalia and the national government reached a deal with utility company RWE to destroy the abandoned village of Luetzerath and build a coal mine there.,Anger that construction of additional coal mines will hinder Germany's ability to meet its 2015 Paris climate accord commitments.,">15,000",Climate activists.,1 week,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Berlin
Germany,Coronavirus restriction protests,20-Apr,Free,Enactment of strict lockdown measures and vaccine mandates.,Economic damage brought on by restrictions and political contestation over the threat posed by the virus.,">30,000","Right- and left-wing extremists, conspiracy theorists, antivaccine groups.","16 months, intermittently",No policy/leadership change in response to the protests.,,X,X,,Tens of thousands,,,,X,X,Berlin
Germany,Far-right pact protests,20-Feb,Free,"Cooperation between the state branches of far-right party Alternative for Germany (AfD) and the center-right Christian Democratic Union and left-leaning Free Democratic Party (FDP) to oust the state premier of Thuringia, Bodo Ramelow, and replace him with Thomas Kemmerich, a member of the FDP. The pact was a visible violation of mainstream political norms that opposed cooperating with far-right parties.",State-level mainstream parties’ cooperation with far-right parties.,"18,000","Unions, antifascist groups, young people.",1 week,"The manner of Ramelow’s dismissal prompted outrage that led to the resignation of the ruling Christian Democratic Union’s chair, Annegret Kramp-Karrenbauer, Chancellor Angela Merkel’s handpicked successor. Kemmerich eventually stepped down from his position as state premier, after which Ramelow reclaimed the post.",,,X,,Tens of thousands,,,,,,Berlin
Germany,Fuel price protests,22-Sep,Free,"Rising prices, especially of fuel.",Frustration with the government's pro-Ukraine policies; fears of worsening economic conditions and rising fuel prices.,">50,000",General public.,2 months,No policy/leadership change in response to protests.,,X,X,,Tens of thousands,,,,,,Berlin
Germany,Letzte Generation protests,22-Aug,Free,Perceived government inaction on climate change.,Fears of catestrophic consequences of climate change.,<100,Climate activists.,Active,No policy/leadership change in response to protests.,X,,X,,Tens,,,,X,,Berlin
Germany,Police brutality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Germany.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000",General public.,1 month,No policy/leadership change in response to the protests.,,,X,,Unknown,,,X,,X,Berlin
Ghana,Cost of living protests,22-Nov,Free,Rapidly rising prices. Inflation hit 37% in September 2022.,Fears of economic hardship and implications of depreciating value of currency.,">1,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Accra
Ghana,#FixTheCountry protest,21-Aug,Free,Call for protests by activists on social media after tax hikes and increases in fuel prices.,"Frustration with high cost of living, perceived corruption, and poor infrastructure and living conditions.",">5,000",Youth and general public.,1 day,No policy/leadership change in response to protest.,,X,X,X,Thousands,,,,,,Accra
Ghana,Inflation protest,22-Jun,Free,The government introduced price hikes and a tax on electronic payments.,Worsening economic conditions; perceived failure of government to combat inflation.,>100,General public,2 days,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,,,,Accra
Greece,Migrant shipwreck protests,23-Jun,Free,"A fishing boat that set sail from Tobruk, Libya, on June 10 sank off the coast of Pylos, Greece, on June 14.",Anger over the role of Greek and EU coast guard officials in the shipwreck. Protesters believed that authorities should have done more to save the migrants in distress.,">1,000",General public.,1 day,"Greece’s caretaker prime minister, Ioannis Sarmas, declared three days of national mourning.",,,X,,Thousands,X,,,,,Athens
Greece,Train crash strikes and protests,23-Mar,Free,A train crash killed 57 people.,Outrage over perceived government underinvestment and understaffing in the rail network that may have contributed to the crash.,">60,000",General public.,2 weeks,The prime minister apologized for any responsibility that the government had borne for the accident. He promised a swift investigation and said the new transportation minister would release a safety improvement plan. He also promised to name a commission to investigate mismanagement of the country’s railway system.,,,X,,Tens of thousands,X,,,,,Athens
Greece,Economic protest,22-Apr,Free,A call for protest by two of the country's largest labor unions.,"Economic discontent as high inflation, especially for agricultural goods and fuel, strains household resources; frustration with the government for taking insufficient measures to address inflation.",">10,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Athens
Greece,Inflation strike and protest,22-Nov,Free,"Rapidly rising prices, especially of fuel.",Economic anxieties caused by rising prices.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,X,,,Thousands,,,,,,Athens
Greece,Labor reform bill protests,21-Jun,Free,Introduction and adoption of a labor reform bill that relaxed employer restrictions on overtime and employee hours.,"Frustration with the court’s determination amid rising anti-Semitic violence, and a sense of a lack of accountability for her death.",">5,000",General public; labor unions.,1 week,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,,,Athens
Greece,Pension reform strike,20-Feb,Free,Twenty-four-hour strike in response to proposed pension reform.,"Citizens' fears of pension cuts, which could require them to retire later.","10,000",Public sector trade unions.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Athens
Greece,Protest law protests,20-Jul,Free,The Kryiakos Mitsotakis government’s enactment of a stringent law on demonstrations.,Protection of the right to free assembly and discontent with the government’s move to stifle dissent.,">10,000",General public.,1 week,No policy or leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,,,,Athens
Guatemala,Election interference protests,23-Jul,Partly free,"Guatemala's top prosecutor ordered the suspension of the Seed Movement party, which came in second place in the first round of the country's presidential election. Officials raided the Supreme Electoral Tribunal headquarters in search of evidence the following day.",Anger over the perceived unfairness of the presidential race.,>100,Supporters of the opposition.,Active,"On July 13, Guatemala’s Supreme Electoral Tribunal overruled the suspension of the Seed Movement party. On August 28, the Supreme Electoral Tribunal certified that Arévalo won the election. On August 29, President Alejandro Giammattei called for a democratic transition of power to Arévalo.",X,,X,X,Hundreds,X,,,,,Guatemala City
Guatemala,Presidential candidate ban protests,23-Feb,Partly free,A court denied an indigenous candidate's application to register for the country's presidential election due to a dispute over the paperwork that her vice presidential candidate filed.,Anger over percieved unfairness of the country's electoral tribunal.,">1,000",Supporters of the Peoples Liberation Movement party.,Active,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Guatemala City
Guatemala,Anti-corruption protests,21-Jul,Partly free,"The firing of Juan Francisco Sandoval, the head of the Special Prosecutor’s Office Against Impunity, by Attorney General Maria Porras.",Frustration with impunity for pervasive corruption and the reduction of judicial independence.,">10,000","General public, especially indigenous and student groups.",2 weeks,No policy/leadership change in response to protest.,,,X,X,Tens of thousands,,,,,,Guatemala City
Guatemala,Budget protests,20-Nov,Partly free,"Adoption of a government budget bill that included spending cuts for public health, education, the judiciary, and social support programs while increasing stipends for lawmakers.","Widespread dissatisfaction with systemic corruption, weakening state support for vulnerable populations, and an ineffective government response to the coronavirus pandemic.",">5,000",General public.,1 month,The govermnent withdrew the budget bill.,,,X,X,Thousands,X,,,,X,Guatemala City
Guinea,Democratic transition protests,22-Jul,Partly free,The arrest of three opposition leaders at the hands of the military government.,Frustration at the slow pace of the military government's return to civilian rule after its coup d'etat in 2021.,>100,General public.,3 months in 2022; 3 months beginning February 2023.,No policy/leadership change in response to protests.,,,X,,Hundreds,,,X,X,,Conakry
Guinea,Municipal election protests,18-Feb,Partly free,Delays in the announcement of final vote results for the 2018 municipal elections and a concurrent call for strikes by teachers to protest low pay.,Concerns about electoral manipulation and frustration over poor teacher pay.,">1,000",General public.,2 months,No policy/leadership change in response to protests.,,X,X,X,Tens of thousands,X,,,,,Conakry
Guinea,Term limit protests,19-Oct,Partly free,Suspicions that President Alpha Condé would seek a third term by amending the constitution.,Rising authoritarianism and repression of dissent and protests.,">100,000","Coalition of politicians, activists.",1 month,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,X,X,,Conakry
Haiti,Security protests,23-Aug,Not free,"Gangs, which controlled an estimated 80 percent of the capital, Port-au-Prince, continued to kill and rape civilians","Terror over the security situation, which had deteriorated since the start of 2023.",">1,000",General public,Active,No policy/leadership change in response to the protests.,X,X,X,,Thousands,,,,,,Port-au-Prince
Haiti,Police protest,23-Jan,Not free,The killing of six police officers in an armed attack against a police substation in Haiti’s Artibonite Valley.,Outrage over perceived government inaction to protect police officers in the wake of gang violence.,>100,Police officers.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Port-au-Prince
Haiti,Cost of living protests,22-Jul,Not free,"Rapidly rising prices, especially of fuel.",Violence and poor quality of life under Prime Minister Ariel Henry.,">1,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,,Thousands,,,X,,,Port-au-Prince
Haiti,“March for Life” protest,20-Dec,Partly free,Anniversary of International Human Rights Day and enactment of a new law on public security.,Concern over President Jovenel Moïse’s ongoing rule by decree; deepening economic and social insecurity; and concerns over perceived repression of antigovernment movements.,">1,000",Opponents of Moïse’s government.,1 day,No policy or leadership change in response to the protests.,,X,X,,Thousands,,,,,,Port-au-Prince
